g1_taker.taker_z_4h_min,g2_oi_bipolar.oi_z_1h_min,g2_oi_bipolar.oi_z_24h_block,filters.rsi_min,filters.rsi_max,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
0.3,-0.5,2.5,60,85,42,0.03535562035604876,35.714285714285715,0.004418780500716932,0.016358851099251837,-4.9057407558877015,1.013389780937568
0.3,0.3,2.0,55,80,28,0.03516728003275328,35.714285714285715,0.004467833857094298,0.00848238710862148,-2.4801349281995595,1.0130018162965684
0.3,0.0,2.0,50,80,39,0.023014742160394393,41.02564102564102,0.002647870831149244,-0.030064207030233714,-4.784379591319842,1.008376845615019
-0.5,0.0,2.5,50,80,63,0.014782532980806475,38.095238095238095,0.0017322110127916711,-0.11412562972094031,-6.859499932889018,1.00537084390961
0.3,0.0,3.0,55,85,41,0.0030418654758924595,39.02439024390244,0.0003345350750238939,-0.11424434875509926,-3.9282038357440117,1.0011282331231868
0.3,0.0,2.0,55,80,33,0.002565881407783352,36.36363636363637,0.00030687977996121576,-0.11165375886023066,-2.912103998472133,1.0009425862540666
0.0,0.0,2.5,50,80,54,0.002451361484427035,38.88888888888889,0.0002852006066856712,-0.1731336830054664,-6.445185172581611,1.0008906392876187
-0.5,0.0,2.5,50,85,63,-0.029628357345906086,38.095238095238095,-0.0034501457974958657,-0.43691506747148834,-6.859499932889018,0.9892157202110415
0.0,0.3,3.0,55,85,41,-0.043130845787813545,39.02439024390244,-0.004763714890173818,-0.3239308356867143,-2.923117931626484,0.9843544427205474
0.0,0.0,2.5,50,85,54,-0.04988595544591335,38.88888888888889,-0.005760882338649789,-0.4957324313671463,-6.445185172581611,0.9818377322506106
0.3,0.0,2.0,50,85,39,-0.05027653342157214,41.02564102564102,-0.005723628631622931,-0.3531252961983644,-4.784379591319842,0.9816490329979406
0.0,0.3,3.0,55,80,41,-0.07883939382325528,39.02439024390244,-0.008755119972547904,-0.4883532714616501,-3.083252832018765,0.9716174648395486
0.3,0.0,3.0,50,80,49,-0.08070614840119882,42.857142857142854,-0.008792926127064846,-0.5795421180039062,-6.32819998388501,0.9719205872647817
0.3,0.0,2.0,55,85,33,-0.08109144617337906,36.36363636363637,-0.009586710494224082,-0.4344511846652743,-3.133970968664227,0.9700988161670387
0.0,0.3,2.5,55,85,37,-0.08119328333003084,37.83783783783784,-0.00917363619793042,-0.46027929214849106,-2.12057594271116,0.9704082228497984
0.3,0.3,2.5,55,85,33,-0.09264381258200784,36.36363636363637,-0.011017522133480132,-0.4828763323260765,-2.4801349281995595,0.966520628885072
-0.5,0.0,2.0,55,80,45,-0.1129540313909219,35.55555555555556,-0.013150854343968647,-0.7465006889339043,-3.2078819667021827,0.9594482596418231
0.0,0.3,2.5,55,80,37,-0.11965230410136903,37.83783783783784,-0.013596544532453052,-0.6244768118979005,-2.2820346905398097,0.9567580051474437
0.3,0.3,2.5,55,80,33,-0.13356895437083827,36.36363636363637,-0.015976540569157024,-0.6470365767252573,-2.4801349281995595,0.9521721924948616
0.3,0.3,2.0,50,85,33,-0.13822396658731015,39.39393939393939,-0.01653335647481593,-0.6652999292630635,-3.7715968727177223,0.9506176839816037
0.3,0.0,3.0,50,85,49,-0.14321346589675807,42.857142857142854,-0.01545595631172025,-0.900827524003045,-6.32819998388501,0.9501107261290209
0.3,0.0,2.5,55,80,38,-0.14849543944247331,36.84210526315789,-0.01689995142216058,-0.7663852742692989,-2.912103998472133,0.9471250934524857
0.0,-0.5,3.0,60,85,53,-0.16997934558327246,37.735849056603776,-0.01954049234655499,-1.2091675978626037,-4.61764687233821,0.9372598636556414
-0.5,0.0,2.0,55,85,45,-0.1768690816116735,35.55555555555556,-0.0204061538783712,-1.067246554546819,-3.2078819667021916,0.9363623272224487
0.3,0.3,2.0,50,80,33,-0.17866582480866025,39.39393939393939,-0.02149237491049282,-0.829159253567735,-3.7715968727177223,0.9367428896939836
-0.5,0.3,3.0,55,85,50,-0.18795487915681194,38.0,-0.021070457111163683,-1.208530701674182,-3.855270306177282,0.9334316265207537
0.0,-0.5,2.5,60,85,49,-0.20552082603513022,36.734693877551024,-0.02407670047334108,-1.3443051250899396,-4.170541208560303,0.9238550354818557
-0.5,0.3,3.0,55,80,50,-0.21622906811111237,38.0,-0.024343409278710433,-1.3714939299796947,-4.013867558012373,0.923878435173948
0.3,0.3,3.0,50,85,43,-0.22463925067672627,41.86046511627907,-0.025109793169998222,-1.2112863105597893,-5.33183846390035,0.9232331540744542
0.3,0.0,2.5,55,85,38,-0.22654256255309926,36.84210526315789,-0.02549175350237413,-1.0870668812053896,-3.133970968664227,0.9191546128850602
-0.5,0.3,2.5,55,85,46,-0.22788765901891533,36.95652173913043,-0.026035545312706146,-1.3436691001217915,-3.060434492045313,0.9191488811300145
-0.5,-0.5,3.0,60,80,61,-0.2392301752633828,39.34426229508197,-0.027034381813637248,-1.833548577113131,-4.536639380035968,0.9152413843348068
0.3,0.3,3.0,50,80,43,-0.2574104754992361,41.86046511627907,-0.028915551504354906,-1.3742449933015988,-5.33183846390035,0.9126147498852678
-0.5,0.3,2.5,55,80,46,-0.25788350996714404,36.95652173913043,-0.029593102016561307,-1.5064094084744628,-3.2203428794588698,0.909105373547418
-0.5,-0.5,2.5,60,80,57,-0.2740808694103037,38.59649122807017,-0.03145981613084513,-1.9678320038178487,-4.004552317138237,0.9027705263289413
0.0,0.3,2.0,60,85,26,-0.30939558532734923,34.61538461538461,-0.0359939202570387,-1.021599316474353,-3.2962911101795425,0.8903340925115346
0.0,0.3,2.0,60,80,26,-0.3608098704383941,34.61538461538461,-0.04228805904078244,-1.184870900776791,-3.2962911101795425,0.8735814922491592
-0.5,-0.5,3.0,60,85,63,-0.3859936519807299,38.095238095238095,-0.04297506511460096,-2.8678625589313556,-5.45908384234866,0.8650271093074775
0.0,0.0,2.0,55,80,39,-0.3888143285134804,33.33333333333333,-0.043284294879629565,-1.7969004894607177,-3.0333554939269205,0.8656947680176625
-0.5,0.0,3.0,55,80,57,-0.4063860851740889,35.08771929824561,-0.04414962329476152,-2.6550210188030055,-4.608658789624386,0.8634177915787445
0.3,0.0,2.5,50,80,46,-0.42643225145360864,39.130434782608695,-0.047038252788588975,-2.2824923993293944,-6.328199983884995,0.8589842799185086
-0.5,-0.5,2.5,60,85,59,-0.42788869438190025,37.28813559322034,-0.048331209000782346,-3.000731131337575,-4.7912207205754,0.850279203523179
0.0,0.0,3.0,55,80,48,-0.435062321189588,35.41666666666667,-0.045756259547084926,-2.306949976427919,-3.8284133366743496,0.8534246335596957
-0.5,0.0,2.5,55,80,53,-0.4552235308216961,33.9622641509434,-0.050200768992975583,-2.7881807404861902,-3.8200512955522616,0.847192166704856
-0.5,0.0,3.0,55,85,57,-0.4630342690223025,35.08771929824561,-0.04987749134823722,-2.9695993436290147,-4.608658789624386,0.8443151733149066
0.0,0.0,2.0,55,85,39,-0.4695657463567137,33.33333333333333,-0.051655794342401744,-2.1142519015218575,-3.0333554939269205,0.8376047836273199
0.3,0.0,2.5,50,85,46,-0.4958524028204717,39.130434782608695,-0.054135828420069726,-2.598274581100979,-6.328199983884995,0.8359569482241715
0.0,0.0,2.5,55,80,44,-0.49763933891991535,34.090909090909086,-0.053191197433781263,-2.4405858299426098,-3.0333554939269205,0.8324779206568649
0.0,0.0,3.0,55,85,48,-0.5051806854202356,35.41666666666667,-0.05255810286058732,-2.622653121522789,-3.8284133366743496,0.8297765629291312
-0.5,0.0,2.5,55,85,53,-0.5156789654930868,33.9622641509434,-0.05636092897501548,-3.1023287486937057,-3.8200512955522616,0.8268133111559619
0.0,0.0,2.5,55,85,44,-0.5736482701042416,34.090909090909086,-0.06061139013942023,-2.7558571197597637,-3.0333554939269205,0.8068460026580083
0.3,0.3,2.0,60,85,23,-0.5940604910638859,30.434782608695656,-0.07380258503298423,-1.7738331356181525,-3.5673464514234157,0.8040014856109207
0.3,0.3,2.5,50,85,40,-0.6203384900486646,37.5,-0.07031568385897097,-2.9034155901180747,-5.331838463900337,0.80002564597819
0.3,0.0,2.0,60,80,28,-0.6338318389805006,32.142857142857146,-0.07408473045477942,-2.150528814919983,-3.443017190953776,0.7934860858971196
0.3,0.3,2.0,60,80,23,-0.646772119454742,30.434782608695656,-0.08091769844069455,-1.9358638592219868,-3.5673464514234157,0.7890910561207434
0.3,0.3,2.5,50,80,40,-0.6532271559277811,37.5,-0.0744068740684044,-3.0635829908588152,-5.331838463900337,0.7908242913331356
